product_name,recommended_commission_etb,commission_as_pct_of_price,minimum_commission,maximum_commission,notes
Potato,1.0,4.5,1.0,1.5,Low margin - protect profitability
Potatoes,1.0,4.5,1.0,1.5,Low margin - protect profitability
Tomato,1.0,4.0,1.0,1.5,Low margin - protect profitability
Tomato A,1.0,4.0,1.0,1.5,Low margin - protect profitability
Tomatoes Grade B,1.0,4.0,1.0,1.5,Low margin - protect profitability
Carrot,4.5,8.2,4.0,5.0,High margin - incentivize sales
Avocado,8.0,20.8,7.0,10.0,Very high margin - strong incentive
Sweet Potato,3.0,9.2,2.5,4.0,Good margin - fair commission
Beetroot,4.0,12.8,3.5,5.0,High margin - attractive commission
Red Onion A,4.5,6.1,4.0,5.0,Good margin - encourage volume
Red Onion B,2.0,3.0,1.5,2.5,Medium margin - balanced
Red Onion Elfora,2.0,3.0,1.5,2.5,Medium margin - balanced
Red Onion Grade C,2.0,3.0,1.5,2.5,Medium margin - balanced
Tomato B,1.5,4.3,1.0,2.0,Low margin - minimal commission
Papaya,5.0,10.7,4.5,6.0,High margin - good incentive
White Cabbage,2.0,4.4,1.5,2.5,Medium margin
Broccoli,5.0,2.3,4.5,6.0,High margin - incentivize
Mango,3.0,4.6,2.5,4.0,Good margin
Mango Apple,3.5,1.5,3.0,4.5,Good margin
Apple Mango,3.5,1.5,3.0,4.5,Good margin
Banana,2.5,2.9,2.0,3.5,Medium margin
Apple,6.0,1.0,5.5,7.0,Very high margin
Strawberry,4.0,2.0,3.5,5.0,High margin
Eggplant,3.5,1.9,3.0,4.5,Good margin
Chilly Green,4.0,2.2,3.5,5.0,High margin
Chili Green,4.0,2.2,3.5,5.0,High margin
Chilly Green (Elfora),4.0,2.0,3.5,5.0,High margin
Corn,2.0,5.7,1.5,2.5,Medium margin
Ginger,4.5,2.0,4.0,5.5,High margin
Garlic,6.0,1.8,5.5,7.0,Very high margin
Salad,3.0,2.3,2.5,4.0,Good margin
Valencia Orange,5.0,2.0,4.5,6.0,High margin

